香槟天堂,每一口都是天堂的味道。
维京酒,渴望无限，征战四方。
四百兔酒神,只此一家的龙舌兰。
绿野仙踪,属于你的彩虹尽头。
合成波,波西米亚风。
阿尔卑斯明珠,品质从不打折。
塔吉锅！,只要嘴里能塞满，看不懂也不要紧。
生鱼寿司片,改良米饭质地，绝无有毒色素添加！
维我命,天下的维他命，尽在你手。
瓦特纳无气冰川水,喝一口冰川水，就是喝下一段历史。
瓦特纳冰川气泡水,自然碳酸。很自然。
番茄“汁”,鲜艳的红色，倍添口感。
纯净水,干净的水。真正的享受。
禅派乌龙,清静，致远。
禅派抹茶,念动经文。喝一杯禅茶。
禅派煎茶,凝神静气，探寻内心。
彩虹蝎尾狮青柠,让你嗨翻天！
彩虹蝎尾狮嘉年华,有汽儿的就是他妈爽！
保健水,干净。圣洁。保健水。
洋蓟牛油果披萨,加料之后，更上一层楼。
什锦饭,法国有句老话：“想屁啊，全扔进去就完了。”
蝗虫辣肠披萨,在您的味蕾上蜂拥而至！
海苔卷,寿司永远不会过时。
豆腐金枪鱼和菠萝披萨,素食者永远吃不够。
“牛奶”巧克克力,丰富的巧克力口感，多多补充维他命C和钙！
玉米饼,什么狗屁切片面包。玉米饼才是食品世界的基准。
皮埃尔可颂,火热出炉，保鲜两年！
满满当当粉蒸肉,源自阿兹克特。
咯吱拉,完美无极限。
吃蜗牛了吗？,蜗牛，100%动物，100%合法。
月光私酿,回味涩口，记忆模糊。
拖车精酿啤酒,泡沫丰富。
特调龙舌兰,品味那龙舌兰的火辣。
乔蒂尔俄州自酿,俄克拉荷马风味。
老不死威士忌,威士忌。不说没用的。
朗姆特酿,省钱。但是你可能会眼瞎。
懒惰胚,找个位子，来一杯。
蓝调伏特加,用来冲淡悲伤、恐惧，还有平平无奇的过往。
加尔辛老爹,嘿，吼，一瓶朗姆酒！
哥儿俩好拉格,操。开瓶拉格吧。
哥儿俩好艾尔,啤酒中的艾尔！
干邑因,干邑中的霸王。
电池劲酿,纯酒精。不开玩笑。
第二十一修正案世涛,啤酒。就这么简单。
布尔什维克伏特加,杯中的阶级革命
白色冰丘,格调的味道。
阿拜多斯特大号,只有王者方能享受。
阿拜多斯经典,有些东西永远都不能变。
素肉金牌莫洛托夫鸡尾酒,喉头燃烧似火！
真果,并非广告。真的是真的。
月亮快餐仙女座,银河系绝无仅有的零食体验！
月亮快餐酸味星球,有如外星球上那酸性大气的芳香。
月亮快餐脉冲星,穿越宇宙的极乐之光！
月亮快餐,嗨上加嗨！
屠宰场素食,我们也许不同意您的看法，但我们绝对不会让您饿着。
屠宰场肉干,像老虎一样吃。满足您的本能。
素肉金牌炸药,味！觉！爆！炸！
素肉金牌硝化甘油,往嘴里大胆扔。
素肉金牌火山爆发,各种风味的猛烈爆炸直击灵魂！
素肉金牌放射性,警告：可能会获得超能力。
素肉金牌二次冲击,震撼世界的小零食！
爽歪歪葡萄,更多好味道，舌头不起泡！
爽歪歪蓝色装,比同类竞品拥有更多颜色！
爽歪歪番茄酱,在你最喜欢的食物上用你第二喜欢的食物调味。
撒旦万岁,666克的诱惑。
全息小吃桃子派,奶奶以前常做。打成酱，吃着更方便！
全息小吃葡萄派,您所不知道的钟爱口味。
全息小吃薄荷派,融化舌尖，新鲜爽口。
全食品工厂素食天地,吃起来和真的菜一模一样！
全食品工厂肉食天地,吃起来和真的肉一模一样！
轻松牛肉,合成肉：怎么吃都不够！
猫粮,吃上一口，喵味无穷。
麦丽豆中国柠檬,嘬上一颗麦丽豆。
麦丽豆热带风情,带上舌头体验浪漫之旅。
麦丽豆环礁,尝一尝，向着未知，起帆远航。
麦丽豆车前草,这就是魔法的味道。
乐狗,城里最香的面包，最弹牙的香肠！
拉拉拉面,全新配方！多加三倍味精！
精品屠宰场,合成肉产物含量超过70%！
黑巧克力,丰富的巧克力口感，富含维他命C！
合成零嘴,盐。脂肪。糖。食品基本要素三合一。
干肉,好奇心害死猫。别问这只是怎么死的…
豆面糊,必要营养一口吞。越快咽下越精神。
大白先生香辣,下点猛料提提速！
大白先生水晶,别停。永远别停。
大白先生薄荷,美味的高卡路里零食。
大白先生,快快快！
粑粑米花,您吃过最香的粑粑。
啊唷！豆腐条,人活着靠的不是味道：是卡路里！
XXL 卷饼天蓝,宁死也要吃。不开玩笑。
XXL 卷饼粉红,大号卷饼能量。
XXL 卷饼,大。就是超级大。
“有”机食品五味全,让您的舌头自由发挥。
“有”机食品萨尔萨酱龙舌兰,吮吸西南风味！
“有”机食品醋溜辣椒,舌头上面挤一点，满面通红辣屁眼。
馄饨,城中美味，尽在小唐人街。
清酒宇多川,给自己的完美礼物。
麦西雅马邑,不是酒，而是品。
罗慕路斯金酒,大人物的味道。
快乐骷髅头,节日狂欢？少不了骷髅头。
德伦酒庄2012,只有200瓶。快快下手。
保罗之夜,艺术家和梦想家的最爱。
巴勒贝克亚力酒,我们把沙漠骄阳装入瓶中。
